county,month,user_name,vacation_length
Alba Iulia,Mai,LAVERN OLSON,3
Alba Iulia,Mai,RUTHIE FERGUSON,1
Alba Iulia,Mai,ANNETTE MORAN,10
Alba Iulia,Mai,TAMRA DELEON,4
Alba Iulia,Mai,OCTAVIO BARNES,11
Alba Iulia,Mai,MICHEAL WHEELER,4
Alba Iulia,Mai,BRIGITTE REID,10
Alba Iulia,Mai,KATHIE SUAREZ,14
Alba Iulia,Mai,CARRIE HARRIS,13
Alba Iulia,Mai,TABATHA TYLER,2
Alba Iulia,Mai,CLARK HARRELL,7
Alba Iulia,Mai,STEPHEN FARMER,2
Alba Iulia,Mai,GLENN MURILLO,8
Alba Iulia,Mai,VELMA SAWYER,10
Alba Iulia,Mai,MARA HORTON,4
Alba Iulia,Mai,SCOT CASE,7
Alba Iulia,Mai,SADIE COSTA,7
Alba Iulia,Mai,REGINA MAY,4
Alba Iulia,Mai,DORTHY LINDSEY,1
Alba Iulia,Iunie,BLANCHE DURHAM,12
Alba Iulia,Iunie,ROBERTA STEIN,10
Alba Iulia,Iunie,BERNARD CALDERON,9
Alba Iulia,Iunie,REBEKAH LEE,2
Alba Iulia,Iunie,DALE TOWNSEND,9
Alba Iulia,Iunie,BEATRIZ ABBOTT,2
Alba Iulia,Iunie,DOMINGO BASS,2
Alba Iulia,Iunie,DALTON MILLS,3
Alba Iulia,Iunie,EDGAR LAWRENCE,11
Alba Iulia,Iunie,JODIE KEMP,15
Alba Iulia,Iunie,HELGA CARTER,10
Alba Iulia,Iunie,MARJORIE BRADSHAW,11
Alba Iulia,Iunie,BERTIE HILL,15
Alba Iulia,Iunie,NORMAND LOWERY,8
Alba Iulia,Iunie,FRANKIE HICKS,13
Alba Iulia,Iunie,RENA BONILLA,7
Alba Iulia,Iunie,AISHA HALL,14
Alba Iulia,Iunie,AGNES STOUT,2
Alba Iulia,Iulie,MABEL RUSSO,15
Alba Iulia,Iulie,MAXINE LOVE,13
Alba Iulia,Iulie,KERRY MONTOYA,12
Alba Iulia,Iulie,JACQUELYN LAM,13
Alba Iulia,Iulie,TAMRA CARLSON,2
Alba Iulia,Iulie,HILARIO ORTIZ,3
Alba Iulia,Iulie,KITTY PETERSON,2
Alba Iulia,Iulie,MICHEAL HAYES,4
Alba Iulia,Iulie,DERICK CHUNG,4
Alba Iulia,Iulie,SPENCER MACDONALD,12
Alba Iulia,Iulie,MARA HORN,9
Alba Iulia,Iulie,ROY LEE,7
Alba Iulia,Iulie,COLEEN FIGUEROA,8
Alba Iulia,Iulie,SADIE MANNING,2
Alba Iulia,Iulie,TINA RAYMOND,10
Alba Iulia,Iulie,NELL PETERSEN,5
Alba Iulia,Iulie,CHRISTINE GUZMAN,6
Alba Iulia,Iulie,EILEEN HERRING,6
Alba Iulia,Iulie,HUNG DANIEL,15
Alba Iulia,Iulie,OTIS BARRY,12
Alba Iulia,Iulie,CORRINE NOBLE,2
Alba Iulia,Iulie,HATTIE MORROW,1
Alba Iulia,Iulie,KYLE ASHLEY,1
Alba Iulia,Iulie,ADOLFO WARD,11
Alba Iulia,Iulie,REYES BOYD,1
Alba Iulia,Iulie,GERTRUDE THORNTON,9
Alba Iulia,August,JESSE OLSON,2
Alba Iulia,August,VANCE RANDOLPH,1
Alba Iulia,August,LUKE JOHNSON,14
Alba Iulia,August,ELISABETH HARDIN,4
Alba Iulia,August,TAMMY MANNING,14
Alba Iulia,August,JANET DAVIDSON,5
Alba Iulia,August,NOAH MACK,7
Alba Iulia,August,SAUNDRA RANGEL,10
Alba Iulia,August,CECILE ANDREWS,5
Alba Iulia,August,BRIDGETT HANSEN,15
Alba Iulia,August,CARLA DAVENPORT,5
Alba Iulia,August,NED BOWMAN,11
Alba Iulia,August,BRYANT SOSA,3
Alba Iulia,August,ELLIS FREDERICK,11
Alba Iulia,August,WOODROW CASTRO,8
Alba Iulia,August,MELISSA BERG,10
Alba Iulia,August,JESUS RAMIREZ,14
Alba Iulia,August,RANDOLPH GUTIERREZ,6
Alba Iulia,August,CHANCE HUNTER,3
Alba Iulia,August,MANUEL COHEN,8
Alba Iulia,August,CYRUS DECKER,14
Alba Iulia,August,WALTER MULLINS,8
Alba Iulia,August,KARI CORREA,4
Alba Iulia,August,KATRINA RICHMOND,5
Alba Iulia,Septembrie,JUDITH DELACRUZ,4
Alba Iulia,Septembrie,DANNIE SCHULTZ,9
Alba Iulia,Septembrie,LOUIE JOSEPH,8
Alba Iulia,Septembrie,ALYSON CAMPBELL,3
Alba Iulia,Septembrie,SOPHIA VILLANUEVA,3
Alba Iulia,Septembrie,DARRYL STUART,6
Alba Iulia,Septembrie,PAIGE LUNA,5
Alba Iulia,Septembrie,CAITLIN FARMER,9
Alba Iulia,Septembrie,ERNA SHORT,1
Alba Iulia,Septembrie,KEITH HORNE,15
Alba Iulia,Septembrie,ROSIE LUGO,3
Alba Iulia,Septembrie,EULA MEJIA,6
Alba Iulia,Septembrie,IGNACIO SIMS,8
Alba Iulia,Septembrie,ERIKA GARRISON,6
Alba Iulia,Septembrie,MARCUS JOHNSTON,7
Alba Iulia,Septembrie,KIMBERLEY LOZANO,10
Alba Iulia,Septembrie,ARLINE REILLY,8
Alba Iulia,Septembrie,ARON BLAIR,6
Alba Iulia,Septembrie,TIA BENSON,7
Alba Iulia,Septembrie,TRICIA SHAFFER,6
Alba Iulia,Septembrie,CARMELLA STANLEY,12
Alba Iulia,Septembrie,KYLE ASHLEY,5
Alba Iulia,Septembrie,RILEY HOLLAND,15
Alba Iulia,Septembrie,GUADALUPE QUINN,5
Alba Iulia,Septembrie,ROCCO DAWSON,2
Alba Iulia,Octombrie,HERSCHEL LUCAS,5
Alba Iulia,Octombrie,FERN CARTER,4
Alba Iulia,Octombrie,ALVA BLANCHARD,4
Alba Iulia,Octombrie,NED HUNTER,11
Alba Iulia,Octombrie,URSULA RODGERS,10
Alba Iulia,Octombrie,MACK LITTLE,11
Alba Iulia,Octombrie,KRIS DAVIS,15
Alba Iulia,Octombrie,ARNULFO GRAVES,5
Alba Iulia,Octombrie,BRANDY HAYDEN,5
Alba Iulia,Octombrie,ANGELICA KELLY,10
Alba Iulia,Octombrie,NOEL CAMACHO,9
Alba Iulia,Octombrie,ANNETTE MORAN,14
Alba Iulia,Octombrie,MACK LITTLE,6
Alba Iulia,Octombrie,STEPHEN YANG,12
Alba Iulia,Noiembrie,DARRELL SMALL,8
Alba Iulia,Noiembrie,CECIL HARDIN,13
Alba Iulia,Noiembrie,LEILA SUMMERS,7
Alba Iulia,Noiembrie,JULIO PARK,1
Alba Iulia,Noiembrie,OTTO CALDERON,12
Alba Iulia,Noiembrie,STUART POLLARD,12
Alba Iulia,Noiembrie,SHANNON SKINNER,8
Alba Iulia,Noiembrie,PAULA FOX,6
Alba Iulia,Noiembrie,ROB BRUCE,5
Alba Iulia,Noiembrie,JOSUE AUSTIN,9
Alba Iulia,Noiembrie,HERIBERTO MEDRANO,5
Alba Iulia,Noiembrie,BOB SWANSON,7
Alba Iulia,Noiembrie,GARTH MCCOY,5
Alba Iulia,Decembrie,RILEY BRADSHAW,6
Alba Iulia,Decembrie,LOLITA KELLER,6
Alba Iulia,Decembrie,RACHEL COLLIER,12
Alba Iulia,Decembrie,BRETT POTTS,5
Alba Iulia,Decembrie,JEANETTE LEON,9
Alba Iulia,Decembrie,SUZANNE BARTLETT,10
Alba Iulia,Decembrie,ALFREDA CHERRY,1
Alba Iulia,Decembrie,HATTIE MORROW,1
Alba Iulia,Decembrie,JANETTE BEIL,10
Alba Iulia,Decembrie,SALVATORE WEISS,13
Alba Iulia,Decembrie,GENARO BRADSHAW,1
Alba Iulia,Decembrie,CRUZ WYATT,5
Alba Iulia,Decembrie,RONNIE CARR,12
Alba Iulia,Decembrie,GERMAN MORALES,3
Alba Iulia,Decembrie,BENNETT MUNOZ,2
Alba Iulia,Decembrie,SHELLY WOLFE,10
Alba Iulia,Decembrie,JERRY MCINTOSH,12
Alba Iulia,Decembrie,VICTOR CAMERON,12
Arad,Ianuarie,JUDITH DELACRUZ,1
Arad,Ianuarie,PETE TANG,6
Arad,Ianuarie,CHUCK ROWLAND,5
Arad,Ianuarie,ZACHARY HOPKINS,6
Arad,Ianuarie,EMMANUEL FITZGERALD,3
Arad,Ianuarie,SON COLE,12
Arad,Ianuarie,BERNARD BARAJAS,7
Arad,Ianuarie,ANNA BARAJAS,13
Arad,Ianuarie,TAMERA GLOVER,11
Arad,Ianuarie,ERIKA WOLFE,5
Arad,Ianuarie,AVERY BAILEY,9
Arad,Ianuarie,PERCY ROBBINS,13
Arad,Ianuarie,KERRI WARD,4
Arad,Ianuarie,PIERRE NORRIS,13
Arad,Ianuarie,NOAH FLYNN,13
Arad,Ianuarie,TABATHA WALLACE,7
Arad,Ianuarie,DAISY DEJESUS,15
Arad,Ianuarie,MAYRA SHERMAN,7
Arad,Ianuarie,MITCH REILLY,5
Arad,Ianuarie,MELVIN MURPHY,2
Arad,Ianuarie,KEVIN LINDSEY,3
Arad,Ianuarie,DON COMBS,5
Arad,Ianuarie,CAREY OLIVER,14
Arad,Ianuarie,DORIAN ROSALES,8
Arad,Ianuarie,DREW BELL,10
Arad,Ianuarie,MICHEAL HAYES,4
Arad,Ianuarie,BRANDIE PERSON,14
Arad,Ianuarie,MARIANA SANTIAGO,10
Arad,Ianuarie,MOLLY ARELLANO,1
Arad,Februarie,AMELIA LITTLE,4
Arad,Februarie,ROLANDO LYONS,12
Arad,Februarie,EDITH SALINAS,6
Arad,Februarie,LAVERN OLSON,13
Arad,Februarie,CONSTANCE KLINE,15
Arad,Februarie,MICHAEL BENTLEY,10
Arad,Februarie,TISHA MENDOZA,4
Arad,Februarie,SETH DELACRUZ,9
Arad,Februarie,ROSELLA BARR,8
Arad,Februarie,ASHLEY MORALES,12
Arad,Februarie,LINCOLN GRAVES,8
Arad,Februarie,CLIFTON MCCALL,5
Arad,Februarie,KIRK GEORGE,15
Arad,Martie,ANTONY LIN,10
Arad,Martie,GORDON CASTILLO,4
Arad,Martie,JULIE DURAN,7
Arad,Martie,GLENNA DOMINGUEZ,7
Arad,Martie,RODGER FELIX,2
Arad,Martie,HERSHEL BAILEY,13
Arad,Martie,RORY HUERTA,1
Arad,Martie,SAL HENDRIX,14
Arad,Martie,JACOB SELLERS,12
Arad,Martie,BRENT TYLER,7
Arad,Martie,CHRISTINA PONCE,15
Arad,Martie,MARLA MARQUEZ,14
Arad,Martie,OLA HARDIN,11
Arad,Martie,ESPERANZA LUNA,10
Arad,Martie,ROYCE CUNNINGHAM,11
Arad,Martie,RICKY BALL,13
Arad,Martie,MARGARET SCHULTZ,4
Arad,Martie,GEORGINA BAXTER,11
Arad,Martie,LETA UNDERWOOD,4
Arad,Martie,SHELBY GOODMAN,4
Arad,Martie,CALLIE ANDREWS,6
Arad,Martie,NOLAN BELTRAN,10
Arad,Martie,SHARON DOYLE,15
Arad,Aprilie,CHRISTINE CASTILLO,1
Arad,Aprilie,BRENDA MILLER,9
Arad,Aprilie,EDDIE HOOD,6
Arad,Aprilie,JESSE HUMPHREY,13
Arad,Aprilie,RAE MOSS,6
Arad,Aprilie,ETHAN COMPTON,7
Arad,Aprilie,ELWOOD ELLIS,2
Arad,Aprilie,WILLA GRAVES,13
Arad,Aprilie,PENNY KHAN,11
Arad,Aprilie,DAISY DEJESUS,5
Arad,Aprilie,NOELLE MADDEN,4
Arad,Aprilie,DOLLIE WILSON,3
Arad,Aprilie,PATRICE KERR,7
Arad,Aprilie,STEPHEN BRADSHAW,4
Arad,Aprilie,MELBA KHAN,3
Arad,Aprilie,RANDI TORRES,12
Arad,Aprilie,ROWENA SANTIAGO,10
Arad,Mai,ROBBIE VALDEZ,1
Arad,Mai,MARA SCHAEFER,1
Arad,Mai,ANNA BARAJAS,15
Arad,Mai,MAX DELAROSA,2
Arad,Mai,RITA KIM,14
Arad,Mai,MARTIN SPARKS,2
Arad,Mai,SADIE COSTA,3
Arad,Mai,EDITH SALINAS,10
Arad,Mai,MAI GOULD,4
Arad,Mai,BRANDY HAYDEN,7
Arad,Mai,CARSON COHEN,11
Arad,Mai,COLEMAN LANDRY,13
Arad,Mai,CLARICE LAWSON,10
Arad,Mai,WADE BAILEY,7
Arad,Mai,ALEXIS PHAN,9
Arad,Mai,ROSANNE MCCONNELL,9
Arad,Mai,DUDLEY NASH,11
Arad,Mai,OLGA GALLAGHER,15
Arad,Iunie,THERON MCBRIDE,12
Arad,Iunie,DONNY BRADLEY,3
Arad,Iunie,MERRILL RYAN,5
Arad,Iunie,IMELDA BURCH,8
Arad,Iunie,RANDOLPH GUTIERREZ,3
Arad,Iunie,NADIA ANTHONY,6
Arad,Iunie,JEANINE ESQUIVEL,9
Arad,Iunie,ZACHARY HOPKINS,13
Arad,Iunie,WESLEY HAMMOND,7
Arad,Iunie,DAREN SUAREZ,10
Arad,Iunie,CHAUNCEY PENA,4
Arad,Iulie,BLAKE HENSLEY,15
Arad,Iulie,REBA GALINDO,15
Arad,Iulie,ALYCE JARAMILLO,15
Arad,Iulie,CARY SNYDER,2
Arad,Iulie,FRANCIS PUGH,6
Arad,Iulie,MAURICIO SHIELDS,6
Arad,Iulie,KURT SHELTON,5
Arad,Iulie,EDDIE LARA,6
Arad,Iulie,MIGUEL OSBORNE,11
Arad,Iulie,KIMBERLEY WHITAKER,7
Arad,Iulie,SIMON WHEELER,1
Arad,Iulie,EDWIN HEATH,7
Arad,Iulie,DWIGHT ROJAS,15
Arad,August,BRETT POTTS,4
Arad,August,CHADWICK YORK,13
Arad,August,JEANNE PRINCE,12
Arad,August,GORDON CASTILLO,11
Arad,August,MAVIS MOSLEY,2
Arad,August,GLENNA DOMINGUEZ,6
Arad,August,VANESSA BRADSHAW,9
Arad,August,KAYE DAVIDSON,9
Arad,August,SUZETTE GILLESPIE,10
Arad,August,BENITO OBRIEN,8
Arad,Septembrie,MARTIN SPARKS,14
Arad,Septembrie,GWEN SHAW,11
Arad,Septembrie,GRACIELA GOOD,7
Arad,Septembrie,DALTON MILLS,5
Arad,Septembrie,CHRISTOPER BLAKE,15
Arad,Septembrie,FRANCISCO COLON,14
Arad,Septembrie,HANS HART,7
Arad,Septembrie,BENNETT WYATT,13
Arad,Septembrie,CARMELO FITZPATRICK,4
Arad,Septembrie,REBA GALINDO,6
Arad,Septembrie,ROYAL SINGLETON,1
Arad,Septembrie,GREGORIO LLOYD,14
Arad,Septembrie,JOANNA BULLOCK,10
Arad,Septembrie,TERENCE EDWARDS,3
Arad,Septembrie,FREDDIE BURTON,14
Arad,Septembrie,LOGAN VINCENT,12
Arad,Septembrie,SANDY HALL,2
Arad,Septembrie,SHELBY GOODMAN,12
Arad,Septembrie,ELOISE NAVA,13
Arad,Septembrie,VANESSA CORDOVA,10
Arad,Septembrie,PEGGY CORREA,11
Arad,Septembrie,THANH ALLISON,6
Arad,Septembrie,TERENCE FOLEY,9
Arad,Septembrie,BEN HOGAN,3
Arad,Septembrie,ELENA HALEY,4
Arad,Septembrie,BETTYE HERRERA,11
Arad,Septembrie,BENNIE HALE,8
Arad,Octombrie,SUZETTE PINEDA,11
Arad,Octombrie,OLGA GALLAGHER,2
Arad,Octombrie,CYRIL AGUIRRE,3
Arad,Octombrie,TERENCE FOLEY,13
Arad,Octombrie,GARTH MCCOY,9
Arad,Octombrie,HUNG BAKER,12
Arad,Octombrie,AGUSTIN OWEN,1
Arad,Octombrie,SCOT CASE,15
Arad,Octombrie,MYRTLE LE,4
Arad,Octombrie,SAMUEL WOODWARD,2
Arad,Octombrie,JOSIAH WILSON,13
Arad,Noiembrie,MICHEAL BAKER,1
Arad,Noiembrie,ALI JARVIS,11
Arad,Noiembrie,ARNULFO GENTRY,2
Arad,Noiembrie,BRIDGET RAYMOND,2
Arad,Noiembrie,FIDEL MCCARTY,3
Arad,Noiembrie,MEGHAN FARMER,7
Arad,Noiembrie,PETRA SAMPSON,9
Arad,Noiembrie,AURELIO TERRELL,2
Arad,Noiembrie,PARKER NIELSEN,10
Arad,Noiembrie,ISABELLE BRAVO,14
Arad,Noiembrie,KATINA MILLS,15
Arad,Noiembrie,LAURENCE WILEY,6
Arad,Noiembrie,ESSIE MEDRANO,2
Arad,Noiembrie,SOPHIA VILLANUEVA,12
Arad,Noiembrie,MIGUEL OSBORNE,2
Arad,Noiembrie,ANTONIO CUNNINGHAM,4
Arad,Noiembrie,BERT MARIN,12
Arad,Noiembrie,DANA ESQUIVEL,5
Arad,Noiembrie,IRVING CLAY,9
Arad,Noiembrie,MARTINA MELTON,4
Arad,Noiembrie,FERDINAND SCHMITT,7
Arad,Noiembrie,REGINA WELCH,10
Arad,Noiembrie,ALFRED DRAKE,13
Arad,Noiembrie,MERCEDES POLLARD,5
Arad,Noiembrie,ALAN ANTHONY,1
Arad,Noiembrie,CANDY WOODS,1
Arad,Noiembrie,MARYLOU WARREN,15
Arad,Decembrie,PAULA GRAVES,10
Arad,Decembrie,MIA SALAZAR,2
Arad,Decembrie,DEON HENSLEY,12
Arad,Decembrie,MABEL RUSSO,11
Arad,Decembrie,MABEL RUSSO,5
Arad,Decembrie,SAM FOX,14
Arad,Decembrie,HARVEY WALTER,14
Arad,Decembrie,RICHIE RUSSO,8
Arad,Decembrie,DAISY DEJESUS,4
Arad,Decembrie,JERROD GARNER,3
Arad,Decembrie,MAX DELAROSA,5
Arad,Decembrie,SAMANTHA BUSH,10
Arad,Decembrie,PRESTON CONWAY,5
Arad,Decembrie,WILLIAM CANNON,3
Arad,Decembrie,ALPHONSE KRUEGER,8
Arad,Decembrie,MAXWELL HERMAN,13
Arad,Decembrie,AUGUSTUS ROMAN,12
Arad,Decembrie,BENNIE HALE,5
Arad,Decembrie,LLOYD JOHNSTON,5
Arad,Decembrie,EARLINE BLANCHARD,4
Bacau,Ianuarie,CYNTHIA STANTON,11
Bacau,Ianuarie,LAKEISHA POPE,3
Bacau,Ianuarie,HARVEY RIVAS,12
Bacau,Ianuarie,SANDY HURST,13
Bacau,Ianuarie,JEANNINE HARRIS,10
Bacau,Ianuarie,THANH ALLISON,2
Bacau,Ianuarie,HOWARD FRANCO,15
Bacau,Ianuarie,LILIANA GARCIA,6
Bacau,Ianuarie,PHOEBE WEBB,3
Bacau,Ianuarie,GWEN SHAW,8
Bacau,Ianuarie,JUDY MCMILLAN,9
Bacau,Ianuarie,AISHA HALL,13
Bacau,Ianuarie,ALBERTO GLASS,5
Bacau,Ianuarie,TIA SPARKS,13
Bacau,Ianuarie,GILBERT PINEDA,2
Bacau,Ianuarie,MABEL RUSSO,11
Bacau,Ianuarie,JOANNA BULLOCK,15
Bacau,Ianuarie,LAMONT BLANCHARD,12
Bacau,Ianuarie,MARVIN BROWNING,7
Bacau,Ianuarie,MADELEINE LI,5
Bacau,Februarie,MARIAN ROSE,1
Bacau,Februarie,NINA MCCLURE,13
Bacau,Februarie,DELIA TURNER,13
Bacau,Februarie,EDDIE LARA,9
Bacau,Februarie,AGNES PAYNE,2
Bacau,Februarie,LUCIO WINTERS,5
Bacau,Februarie,PETE LOWE,9
Bacau,Februarie,PATRICK HICKMAN,12
Bacau,Februarie,SELENA MCCARTY,5
Bacau,Februarie,JUANITA CORTES,13
Bacau,Februarie,ARNOLD FRANK,12
Bacau,Februarie,JACQUELINE MCKENZIE,6
Bacau,Februarie,DELBERT MCPHERSON,11
Bacau,Februarie,RAMON LLOYD,3
Bacau,Februarie,DWIGHT ROJAS,8
Bacau,Februarie,PEARL MCBRIDE,1
Bacau,Februarie,ROSIE MORRISON,8
Bacau,Februarie,LORRIE WADE,2
Bacau,Februarie,LYNN AYALA,2
Bacau,Februarie,AMY CONTRERAS,2
Bacau,Martie,JANIE GLOVER,2
Bacau,Martie,LOUIE JOSEPH,13
Bacau,Martie,DORIAN WEEKS,4
Bacau,Martie,KRISTINA PATTON,4
Bacau,Martie,SHARON DOYLE,4
Bacau,Martie,JOAN BARRERA,6
Bacau,Martie,MARIANO KOCH,10
Bacau,Martie,PRESTON GILL,14
Bacau,Martie,BETHANY MCCANN,10
Bacau,Martie,SHELLY WOLFE,6
Bacau,Martie,LORETTA BOWERS,9
Bacau,Martie,IGNACIO HUANG,15
Bacau,Martie,JESSE MOYER,4
Bacau,Martie,MILTON FOLEY,9
Bacau,Martie,RUTH MANNING,4
Bacau,Martie,ESTHER WHITEHEAD,1
Bacau,Martie,RONDA ANDERSEN,1
Bacau,Martie,ROSALINDA MACDONALD,3
Bacau,Martie,ZANE DAY,10
Bacau,Martie,ANNETTE KELLEY,7
Bacau,Aprilie,CLAIR ROWLAND,13
Bacau,Aprilie,JOSEPH BANKS,13
Bacau,Aprilie,EVERETT WEBB,1
Bacau,Aprilie,MYRNA EATON,3
Bacau,Aprilie,THANH BAILEY,8
Bacau,Aprilie,FLETCHER SPENCER,1
Bacau,Aprilie,GOLDIE SCHNEIDER,13
Bacau,Aprilie,ALISSA WOOD,4
Bacau,Aprilie,LOUISE GRAHAM,14
Bacau,Aprilie,NOEMI BURGESS,12
Bacau,Aprilie,ELSIE HORNE,10
Bacau,Aprilie,CONNIE SPARKS,7
Bacau,Aprilie,EARNEST WALLACE,1
Bacau,Aprilie,NEWTON BRADLEY,1
Bacau,Aprilie,LORA RAMOS,8
Bacau,Aprilie,WAYNE HANCOCK,9
Bacau,Aprilie,JANICE OROZCO,7
Bacau,Aprilie,LEANNE CAMACHO,11
Bacau,Aprilie,MARYLOU DOUGHERTY,4
Bacau,Mai,BRYAN STAFFORD,2
Bacau,Mai,JASON DOUGLAS,10
Bacau,Mai,PAULA FOX,12
Bacau,Mai,GONZALO TURNER,12
Bacau,Mai,SONYA BURCH,9
Bacau,Mai,KRISTIN WRIGHT,8
Bacau,Mai,CARLA DAVENPORT,9
Bacau,Mai,BRADFORD SALINAS,1
Bacau,Mai,TODD UNDERWOOD,1
Bacau,Mai,DIRK PADILLA,11
Bacau,Mai,BUFORD RIVAS,3
Bacau,Mai,SHIRLEY JACOBSON,1
Bacau,Mai,NATALIA BYRD,7
Bacau,Mai,SELENA MCCARTY,6
Bacau,Mai,FANNIE HAIL,3
Bacau,Iunie,RAPHAEL MCCORMICK,4
Bacau,Iunie,DALLAS GOULD,12
Bacau,Iunie,LENORE BARKER,12
Bacau,Iunie,RICKIE ROTH,2
Bacau,Iunie,GREGORIO LLOYD,2
Bacau,Iunie,REGINA WELCH,15
Bacau,Iunie,CARISSA JORDAN,4
Bacau,Iunie,MARIO LARSEN,12
Bacau,Iunie,GUS HUBER,13
Bacau,Iunie,REYNA CRAIG,1
Bacau,Iunie,TERRELL WILLIS,3
Bacau,Iunie,TAD FARRELL,8
Bacau,Iunie,CARROLL NIXON,5
Bacau,Iunie,LELAND TREJO,7
Bacau,Iunie,THURMAN RIVERS,11
Bacau,Iunie,LORA RAMOS,13
Bacau,Iunie,PHILLIP CLAYTON,5
Bacau,Iunie,ELENA SHAW,13
Bacau,Iunie,JERRY JENKINS,4
Bacau,Iunie,MAX DELAROSA,3
Bacau,Iunie,CEDRIC CHAPMAN,11
Bacau,Iunie,JASMINE DELGADO,5
Bacau,Iunie,JOAN BARRERA,5
Bacau,Iunie,DEENA WADE,9
Bacau,Iunie,DOMINIQUE DYER,11
Bacau,Iulie,JACQUELINE MCKENZIE,9
Bacau,Iulie,CLIFFORD SAMPSON,6
Bacau,Iulie,TRACIE ACEVEDO,7
Bacau,Iulie,TERI BERNAL,5
Bacau,Iulie,FRITZ HART,15
Bacau,Iulie,NATALIA BYRD,12
Bacau,Iulie,JUDITH STRONG,7
Bacau,Iulie,TERRELL WILLIS,8
Bacau,Iulie,MAUREEN BALLARD,7
Bacau,Iulie,JENNIFER HULL,2
Bacau,Iulie,NEWTON ESTES,14
